	text	pred	label
0	['[CLS]', '张', '学', '友', '一', '首', '《', '当', '爱', '变', '成', '习', '惯', '》', '很', '经', '典', '[SEP]']	['张学友', '当爱变成习惯']	['张学友', '当爱变成习惯']
1	['[CLS]', '《', '高', '庸', '武', '侠', '小', '说', '全', '集', '》', '在', '线', '阅', '读', '[SEP]']	['高庸武侠小说全集']	['高庸武侠小说全集']
2	['[CLS]', '《', '大', '话', '仙', '侠', '》', '三', '大', '职', '业', '新', '人', '必', '备', '职', '业', '_', '大', '话', '仙', '[SEP]']	['大话仙侠', '职业', '新人', '职业']	['大话仙侠', '职业', '新人', '职业']
3	['[CLS]', '《', '轮', '回', ':', '三', '界', '至', '尊', '》', '_', '黔', '首', '的', '刀', '著', '_', '玄', '幻', '[SEP]']	['轮回:三界至尊', '黔首的刀', '玄幻']	['轮回:三界至尊', '黔首的刀']
4	['[CLS]', '中', '国', '音', '乐', '学', '院', ' ', '江', '南', ' ', '男', '中', '音', ' ', '《', '隐', '衷', '》', '《', '黑', '雾', '》', '《', ' ', '.', '.', '.', '[SEP]']	['中国音乐学院', '江南', '男中音', '隐衷', '黑雾']	['中国音乐学院', '江南', '男中音', '隐衷', '黑雾']
5	['[CLS]', '为', '毛', '德', '莱', '文', '不', '出', '破', '败', '。', '。', '_', '德', '莱', '文', '吧', '[SEP]']	['德莱文', '德莱文吧']	['毛德莱文', '德莱文吧']
6	['[CLS]', '《', '重', '生', '之', '最', '强', '王', '者', '》', '_', '骑', '士', '的', '赞', '歌', '著', '_', '游', '戏', '[SEP]']	['重生之最强王者', '骑士的赞歌', '游戏']	['重生之最强王者', '骑士的赞歌', '游戏']
7	['[CLS]', '[', '精', '彩', '音', '乐', '汇', ']', '《', '我', '的', '蒙', '古', '马', '》', ' ', '演', '唱', ':', '乌', '兰', '图', '雅', '_', '[SEP]']	['精彩音乐汇', '我的蒙古马', '乌兰图雅']	['精彩音乐汇', '我的蒙古马', '乌兰图雅']
8	['[CLS]', '广', '西', '首', '部', '民', '族', '风', '电', '影', '《', '死', '亡', '盗', '墓', '》', '正', '式', '启', '动', '!', '[SEP]']	['广西', '民族风', '电影', '死亡盗墓']	['广西', '民族风', '电影', '死亡盗墓', '启动']
9	['[CLS]', '《', '爸', '爸', '去', '哪', '》', '第', '二', '季', '主', '题', '曲', '公', '开', '[SEP]']	['爸爸去哪', '主题曲']	['爸爸去哪', '主题曲']
10	['[CLS]', '《', '三', '生', '三', '世', '》', '男', '配', '成', '颜', '值', '担', '当', '?', ' ', '张', '彬', '彬', '高', '伟', '光', '如', '何', '自', '评', ' ', '|', '.', '.', '.', '[SEP]']	['三生三世', '男配', '颜值', '张彬彬', '高伟光']	['三生三世', '男配', '颜值', '担当', '张彬彬', '高伟光', '自评']
11	['[CLS]', '《', '香', '山', '红', '叶', '》', '的', '原', '文', '是', '什', '么', '?', '[SEP]']	['香山红叶', '原文']	['香山红叶']
12	['[CLS]', '罗', '大', '佑', '伴', '奏', '全', '场', '千', '人', '合', '唱', '《', '浪', '子', '心', '声', '》', '[SEP]']	['罗大佑', '浪子心声']	['罗大佑', '浪子心声']
